Symbol,Date,Open,Close,Shortname,Sector,Weight,PcChangeDay
EL,2020-03-20,158.5500030517578,151.0,"Estee Lauder Companies, Inc. (T",Consumer Defensive,0.0026147850119534,-4.76
ETSY,2020-03-20,35.880001068115234,31.690000534057617,"Etsy, Inc.",Consumer Cyclical,0.000322664456103,-11.68
RE,2020-03-20,189.0,194.6499938964844,"Everest Re Group, Ltd.",Financial Services,0.0003240953792274,2.99
EVRG,2020-03-20,54.790000915527344,47.18000030517578,"Evergy, Inc.",Utilities,0.0004460760186222,-13.89
ES,2020-03-20,77.51000213623047,68.33999633789062,Eversource Energy (D/B/A),Utilities,0.0008524114466222,-11.83
EXC,2020-03-20,23.302425384521484,22.111270904541016,Exelon Corporation,Utilities,0.0012866810553838,-5.11
EXPE,2020-03-20,50.400001525878906,48.79999923706055,"Expedia Group, Inc.",Consumer Cyclical,0.0004146639157815,-3.17
EXPD,2020-03-20,58.59999847412109,54.93999862670898,Expeditors International of Was,Industrials,0.0004852932203527,-6.25
EXR,2020-03-20,86.7300033569336,79.72000122070312,Extra Space Storage Inc,Real Estate,0.0006648826895389,-8.08
XOM,2020-03-20,34.84000015258789,32.7400016784668,Exxon Mobil Corporation,Energy,0.0107055640465739,-6.03
FFIV,2020-03-20,99.48999786376952,100.13999938964844,"F5, Inc.",Technology,0.0002730657691714,0.65
FDS,2020-03-20,234.1499938964844,217.97999572753903,FactSet Research Systems Inc.,Financial Services,0.0004420358546508,-6.91
FAST,2020-03-20,32.36000061035156,28.739999771118164,Fastenal Company,Industrials,0.0008549644176065,-11.19
FRT,2020-03-20,76.5,71.55999755859375,Federal Realty Investment Trust,Real Estate,0.0002285345670455,-6.46
FDX,2020-03-20,113.87999725341795,111.05999755859376,FedEx Corporation,Industrials,0.0017568508366297,-2.48
FITB,2020-03-20,13.31999969482422,12.90999984741211,Fifth Third Bancorp,Financial Services,0.0006804777845847,-3.08
FRC,2020-03-20,90.51000213623048,79.56999969482422,FIRST REPUBLIC BANK,Financial Services,0.0007974323194463,-12.09
